Topic,Word,Pinyin,Pronunciation,Meaning
18. Thiên nhiên,天空,tiānkōng,Thiênkhonc,Bầu trời
18. Thiên nhiên,太阳,tàiyáng,Thaiyanc,Mặt trời
18. Thiên nhiên,月亮,yuèliàng,Yueliênc,Mặt trăng
18. Thiên nhiên,星星,xīngxing,Xincxinc,Ngôi sao
19. Mỹ phẩm,化妆品,huàzhuāngpǐn,Hoathroancphin,"Mỹ phẩm, đồ trang điểm"
19. Mỹ phẩm,美容,měiróng,Meironc,"Làm đẹp, thẩm mỹ"
19. Mỹ phẩm,面霜,miànshuāng,Miênsoanc,Kem dưỡng da mặt
19. Mỹ phẩm,洗面奶,xǐmiàn nǎi,Ximiên Nai,Sữa rửa mặt
19. Mỹ phẩm,眼霜,yǎnshuāng,Yansoanc,Kem dưỡng mắt
19. Mỹ phẩm,化妆水,huàzhuāngshuǐ,Hoathroancsuây,Toner (nước hoa hồng)
19. Mỹ phẩm,面膜,miànmó,Miênmo,Mặt nạ
19. Mỹ phẩm,精华液,jīnghuáyè,Ciinchoaye,Tinh chất dưỡng da
19. Mỹ phẩm,防晒霜,fángshài shuāng,Fancsai Soanc,Kem chống nắng
19. Mỹ phẩm,口红,kǒuhóng,Khâuhonc,Son môi
19. Mỹ phẩm,睫毛膏,jiémáogāo,Ciiêmaocao,Mascara
19. Mỹ phẩm,眉笔,méibǐ,Meiphi,Chì kẻ mày
19. Mỹ phẩm,眼影,yányǐng,Yanyinc,Phấn mắt
19. Mỹ phẩm,腮红,sāihóng,Saihonc,Phấn má hồng
19. Mỹ phẩm,粉底,féndǐ,Fânthi,Kem nền
20. Quốc gia và khu vực,中国,Zhōngguó,Thronccua,Trung Quốc
20. Quốc gia và khu vực,美国,Měiguó,Meicua,Mỹ
20. Quốc gia và khu vực,英国,Yīngguó,Yinccua,Anh
20. Quốc gia và khu vực,法国,Fàguó,Facua,Pháp
20. Quốc gia và khu vực,日本,Rìběn,Riphân,Nhật Bản
20. Quốc gia và khu vực,韩国,Hánguó,Hancua,Hàn Quốc
20. Quốc gia và khu vực,俄罗斯,Éluósī,Eluasi,Nga
20. Quốc gia và khu vực,加拿大,Jiānádà,Ciiênatha,Canada
20. Quốc gia và khu vực,德国,Déguó,Thecua,Đức
20. Quốc gia và khu vực,西班牙,Xībānniá,Xiphannia,Tây Ban Nha
20. Quốc gia và khu vực,印度,Yìndù,Yinthu,Ấn Độ
20. Quốc gia và khu vực,泰国,Tàiguó,Thaicua,Thái Lan
20. Quốc gia và khu vực,越南,Yuènán,Yuânan,Việt Nam
20. Quốc gia và khu vực,印度尼西亚,Yìndùníxīyà,Yinthunixiya,Indonesia
20. Quốc gia và khu vực,澳大利亚,Àozhōulìyà,Aothrâuliya,Úc
